,*Add tags,,,,,,,$99,$99,59.99,$169,29.99,29.99,29.99,,,,,,,,129.999,99.99-129.99,79.99,,,,,,,,$199,$0.00,$0.00
Item ID,Item Name:,Product Type:,COGS:,Current O/H,Retail:,Amazon Kit,Knotting Kit,Intro to Jewelry,Intro BW,Wire Working Kit,Ultimate Beading Kit,Learn Sub 1,Learn Sub 2,Learn Sub 3,Learn Sub 4,Learn Sub 5,Learn Sub 6,Learn Sub 7,Learn Sub 8,Learn Sub 9,Learn Sub 10,Adult Party Kit Stringing (4-6ppl),Kids Party Kit,Resin Kit,Jewelry Kit 1,Jewelry Kit 2,Jewelry Kit 3,Jewelry Kit 4,Jewelry Kit 5,Jewelry Kit 6,Advanced Jewelry,Adv BW,Wire Working Kit COGS,Wire Working Kit RP
152064,Potomac Pearls - Bright White 8mm,Pearls,$0.69,227,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,$0.69,$7.99
13170,"Athenacast - Clasp Crimp Pack - Lobsters, Jump Rings, Wire Guards,Crimp Beads | 24k Gold & Silver",Findings,$0.28,5247,$4.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126201,Athenacast Jeweler's Wire 18 Gauge Round - Non-Tarnish Silver 12 Feet,Wire,$3.11,75,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,$3.11,$7.99
,Azuki 15/0 seed beads - Gold Permacoat 10g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Azuki 15/0 seed beads - Silver Permacoat 10g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76644,Miyuki Seed Beads 11/0 - Labrador Full 14g Tube,Seed Beads,$2.92,86,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
70383,Miyuki Seed Beads 11/0 - Duracoat Galvanized Gold 14g Tube,Seed Beads,$2.10,78,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 11/0 - Jet 14g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76701,Miyuki Seed Beads 8/0 - Labrador Full 14g Tube,Seed Beads,$2.08,86,$9.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
71591,Miyuki Seed Beads 8/0 - Duracoat Galvanized Gold 14g Tube,Seed Beads,$2.10,16,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 8/0 - Jet 14g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76732,Miyuki Seed Beads 15/0 - Silver-Lined Crystal (or) Pearl Ceylon,Seed Beads,$2.50,148,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
71030,Miyuki Seed Beads 6/0 - Silver-Lined Crystal (or) Pearl Ceylon,Seed Beads,$0.70,39,$4.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
152038,"BeadTec Beading Needles Sizes 10, 11, 12 | Mix Pack of 6",Tools,$0.21,11037,$2.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,$0.00,$0.00
152126,"BeadTec Memory Wire 2.25"" Silver",Tools,$0.16,729,$5.99,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152088,Non-Slip Rubber Base Bead Design Mat with Reference Guide | 11x14 Inches,Tools,$0.96,377,$15.99,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152047,Potomac Pearls - Bright White 6mm,Pearls,$0.54,-1,$6.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152055,"Potomacbeads Beading Ruler | Ultimate | Crystal | 9x3""",Tools,$2.50,10,$19.99,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
210427,PotomacBeads Thread Cutter with Cover,Tools,$0.25,1568,$2.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
TBD,Instrucitons - Basic Beading Book? (already made),,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Instrucitons - Beadweaving book?,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Instrucitons - Wire working book?,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
210909,Bead Mat 8x11,Tools,,,,1,,1,1,,,,,,,,,,,,,6,6,,,,,,,,,,,
13166,Athenacast - Earring Material Pack | Earwires | 24k Gold & Real Silver Plated (1 Pair),Findings,$0.28,13141,$4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126215,Athenacast Jeweler's Wire 18 Gauge Round - Non-Tarnish Premium Gold Plated 12 Feet,Wire,$2.15,68,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126216,Athenacast Jeweler's Wire 20 Gauge Round - Non-Tarnish Premium Gold Plated 18 Feet,Wire,$2.05,17,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
2658,Athenacast Jeweler's Wire 20 Gauge Round 14K Gold-Filled Soft | 5 Feet,Wire,$25.21,7,$49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
1891,Athenacast Jeweler's Wire 20 Gauge Round Sterling Silver Soft | 5 Feet,Wire,$12.51,2,$24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126217,Athenacast Jeweler's Wire 22 Gauge Round - Non-Tarnish Premium Gold Plated 24 Feet,Wire,$2.05,43,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126203,Athenacast Jeweler's Wire 22 Gauge Round - Non-Tarnish Silver 24 Feet,Wire,$2.02,13,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126218,Athenacast Jeweler's Wire 24 Gauge Round - Non-Tarnish Premium Gold Plated 45 Feet,Wire,$2.05,38,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126219,Athenacast Jeweler's Wire 26 Gauge Round - Non-Tarnish Premium Gold Plated 45 Feet,Wire,$1.95,23,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126205,Athenacast Jeweler's Wire 26 Gauge Round - Non-Tarnish Silver 45 Feet,Wire,$1.93,7,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
,Athenacast Lobster Clasps 12mm - 24k Gold Plating | Pack of 10,Findings,$0.00,305,$4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,2,$0.00,$0.00
"New: Includes 2 push clasp (CG834, $.34, 2 simple toggle gold/silver, 20 lobsters gold/silver,  ",Athenacast Lobster Clasps 12mm - Real Silver Plating | Pack of 10,Findings,,0,$5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
TBD,Athenacast Round Beads | Zinc | Find,Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Athenacast Spacer | Zinc | Find,Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Athenacast Toggles | Zinc | Find,Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Athencast Daisy Spacer Beads - 5mm Gold | 50 pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Azuki 8/0 seed beads - Gold Permacoat 10g Tube,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Azuki 8/0 seed beads - Jet 10g Tube,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 15/0 - Labrador Full 9g Tube,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 15/0 - Duracoat Galvanized Gold 9g Tube,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 15/0 - Jet 9g Tube,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 11/0 - Silver-Lined Crystal,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152113,Bead Mix:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
bead-mat-8x11,Beading Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152187,"BeadTec Memory Wire 2.25"" Gold Plated",,$0.16,541,$5.99,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152125,Clasp Kit: 24 Gold & Silver Clasps,Findings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,$0.00,$0.00
,Czech Faceted Round Bead Collection 3mm | 30 strands | Pack of 1500,,$7.50,-1,$39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
500028,Czech Faceted Round Bead Collection 4mm | 30 strands | Pack of 1500,,$47.99,0,$59.99,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
141243,Gemstones - Magnesite 'Turquoise' Round Beads 3mm Blue,Gemstone Beads,$1.60,24,$5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
29517,Gemstones - Magnesite 'Turquoise' Round Beads 8mm Blue,Gemstone Beads,$1.50,0,$11.99,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
,Magnesite Turquoise Pendant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
,Potomac Beads Pliers - Needle Nose Pliers,,$0.72,479,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
209800-25,Potomac Crystal Disco Balls Crystal AB 6mm | Pack of 25,,$0.30,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152088,Potomac Crystal Round Beads - Crystal AB 2mm | Pack of 150,Crystal Beads,$0.67,581,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152115,Potomac Crystal Round Beads - Crystal AB 3mm | Pack of 120,Crystal Beads,$0.86,473,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
ULT_RULER_CRYS,Potomac Pearl Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
ULT_RULER_MINI_CRYS,Potomac Pearls - Bright White 2mm,Pearls,$2.10,334,$8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152052,Potomac Pearls - Bright White 3mm,Pearls,$0.80,481,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152048,Potomac Pearls - Bright White 6mm Half Strand,Pearls,,560,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152122,"PotomacBeads Beading Mini Design Board 17x12x1cm (4 5/8 x 6 1/2"")",Tools,$0.38,785,$4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
,"Potomacbeads Beading Ruler | Ultimate Mini Pocket | Crystal | 3.5x2.5""",Tools,$1.00,24,$9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
,PotomacBeads Memory Wire Cutter,Tools,$0.94,527,$9.99,,,,,,,,,,,,,,,,,,,,,,,,,,1,,$0.00,$0.00
,PotomacBeads Pliers - Diagonal Flush Cutter,Tools,$0.72,418,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
,PotomacBeads Pliers - Long Chain Nose Grooved Multi-Tool Pliers,Tools,$0.72,625,$8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
1444,PotomacBeads Pliers - Round Nose Pliers,Tools,$0.72,590,$7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
209600,PotomacBeads Stainless Steel Tweezers,Tools,$0.36,1829,$3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
32908,"PotomacBeads Storage Box Recloseable Magnetic | 7""x5.5""x1.75"" | White with Logo",Tools,$0.55,100,$5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
321650,Seed Bead Mix 11/0,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
321500,Seed Bead Mix 11/0 #2,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
321300,Seed Bead Mix 15/0,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
321400,Seed Bead Mix 8/0,Seed Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
321400-Half,Slip-N-Snip Folding Needlenose Scissors,Tools,$1.33,88,$9.99,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,$0.00,$0.00
,BeadTec Jeweler's Glue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321600-Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBD,"Kids DIY bead pack (colors, inexpensive) - LIKE Mermaid Glass, 8/0 seed beads, crystal round.  ",Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Tibet Silver Mix Pack,Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
